lab_rep
33_PE5_HG02261
18_CH6_HG00621
4_PY4_GM10495
40_IS6_GM24385
7_NI2_GM18489
45_EU5_GM12878
32_PE4_HG01975
28_IS5_GM22305
42_EU2_GM12778
15_CH3_GM18631
39_IN5_HG04217
23_KE5_GM19446
29_PE1_HG01567
17_CH5_GM18774
36_IN2_HG03729
22_KE4_GM19390
16_CH4_GM18772
19_KE1_GM19307
25_IS2_GM22299
26_IS3_GM22300
14_CH2_GM18561
41_EU1_GM12273
2_PY2_GM10493
20_KE2_GM19328
24_IS1_GM22234
44_EU4_GM12829
3_PY3_GM10494
8_NI3_GM18906
21_KE3_GM19352
1_PY1_GM10492
37_IN3_HG03732
43_EU3_GM12812
30_PE2_HG01928
27_IS4_GM22304
10_NI5_GM19117
6_NI1_GM18486
38_IN4_HG04216
11_NI6_GM19129
34_PE6_HG02293
